Date,Open,High,Low,Close,Volume
2016-02-09,1842.94,1868.25,1834.94,1852.21,847335300.0
2016-02-08,1868.48,1873.25,1828.46,1853.44,1012894000.0
2016-02-05,1913.07,1913.07,1872.65,1880.05,866331900.0
2016-02-04,1911.12,1927.35,1900.52,1915.45,865531800.0
2016-02-03,1910.08,1918.01,1872.23,1912.53,893685500.0
2016-02-02,1932.34,1935.26,1897.29,1903.03,788015900.0
2016-02-01,1936.94,1947.2,1920.3,1939.38,714148300.0
2016-01-29,1894.0,1940.24,1894.0,1940.24,1218351100.0
2016-01-28,1885.22,1902.96,1873.65,1893.36,820296500.0
2016-01-27,1902.52,1916.99,1872.7,1882.95,801306500.0
2016-01-26,1878.79,1906.73,1878.79,1903.63,695956000.0
2016-01-25,1904.72,1906.28,1875.97,1877.08,760931900.0
2016-01-22,1877.4,1908.85,1877.4,1906.9,809147400.0
2016-01-21,1863.08,1889.85,1848.98,1868.99,853633900.0
2016-01-20,1876.18,1876.18,1812.29,1859.33,1078051500.0
2016-01-19,1888.66,1901.44,1864.6,1881.33,876360000.0
2016-01-15,1916.68,1916.68,1857.83,1880.33,1194942300.0
2016-01-14,1892.87,1934.47,1878.93,1921.84,920305700.0
2016-01-13,1940.34,1950.33,1886.41,1890.28,874565400.0
2016-01-12,1927.83,1947.38,1914.35,1938.68,759189600.0
2016-01-11,1927.16,1935.65,1901.1,1923.67,775646500.0
2016-01-08,1949.54,1960.4,1918.46,1922.03,800798100.0
2016-01-07,1982.46,1985.32,1938.83,1943.09,860517500.0
2016-01-06,2011.71,2011.71,1979.05,1990.26,734820300.0
2016-01-05,2013.78,2021.94,2004.17,2016.71,619260500.0
2016-01-04,2034.37,2038.2,1989.68,2012.66,802072100.0
2015-12-31,2058.36,2062.54,2043.62,2043.94,482596700.0
2015-12-30,2077.34,2077.34,2061.97,2063.36,334631800.0
2015-12-29,2062.57,2081.56,2060.54,2078.36,379027900.0
2015-12-28,2057.77,2057.77,2044.2,2056.5,367737600.0
2015-12-24,2063.56,2067.36,2058.73,2060.99,250570200.0
2015-12-23,2043.66,2064.73,2042.2,2064.29,545191300.0
2015-12-22,2024.81,2042.74,2020.49,2038.97,546862700.0
2015-12-21,2011.65,2022.9,2005.93,2021.15,610294000.0
2015-12-18,2040.81,2040.81,2005.33,2005.55,1811569200.0
2015-12-17,2073.76,2076.37,2041.66,2041.89,646285900.0
2015-12-16,2049.6,2076.72,2042.43,2073.07,680651900.0
