status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
123573591023105_766312250082566,,"Meant for tourists, Jashne Chilai-e-Kalan attracts students",link,http://www.risingkashmir.com/meant-for-tourists-jashne-chilai-e-kalan-attracts-students/,12/29/2014 13:29,39,0,0
123573591023105_766312040082587,,"11 lakh tourists visited Kashmir despite floods, elections: Talat",link,http://www.risingkashmir.com/11-lakh-tourists-visited-kashmir-despite-floods-elections-talat/,12/29/2014 13:28,41,0,0
123573591023105_766311446749313,,KPPA lauds newspaper,link,http://www.risingkashmir.com/kppa-lauds-newspaper/,12/29/2014 13:25,19,0,0
123573591023105_766310570082734,,TAAI distributes relief to its JK members,link,http://www.risingkashmir.com/taai-distributes-relief-to-its-jk-members-2/,12/29/2014 13:23,18,1,0
123573591023105_766310316749426,,KU’s MERC bags first two prizes for short films,link,http://www.risingkashmir.com/kus-merc-bags-first-two-prizes-for-short-films/,12/29/2014 13:22,25,0,1
123573591023105_766310096749448,,People laud RNU operations post floods,link,http://www.risingkashmir.com/people-laud-rnu-operations-post-floods/,12/29/2014 13:22,19,0,0
123573591023105_766309556749502,,Free medical camp for flood-hit Dal dwellers held,link,http://www.risingkashmir.com/free-medical-camp-for-flood-hit-dal-dwellers-held/,12/29/2014 13:20,31,0,0
123573591023105_766274370086354,"Icicles formed on a branch of tree near Mughal road due to the minus temperature in Kashmir on Monday, 29 December 2014. Apart from the Himaliyan state whole North India is under the grip of extreme cold conditions putting normal life out of gear. Rising Kashmir/Nissar ul Haq.",Timeline Photos,photo,https://www.facebook.com/dailyrisingkashmir/photos/a.518745964839197.1073741829.123573591023105/766271920086599/?type=3,12/29/2014 11:34,1194,20,147
123573591023105_766193153427809,AirAsia plane update: Air search off Indonesia for missing flight QZ8501 has been suspended for second night.,,status,,12/29/2014 7:17,57,3,1
123573591023105_766181676762290,"Mehbooba to meet Governor on Wednesday
RK News
Jammu: The meeting of Mehbooba Mufti, Member of Parliament and President of Jammu and Kashmir Peoples Democratic Party (PDP), with the Governor J&K has been preponed to take place on Wednesday December 31st 2014, at the Raj Bhavan, Jammu.",,status,,12/29/2014 6:46,57,3,1
123573591023105_766162946764163,"Only General Secretary, Provincial Presidents, Spokesperson to speak on party policy: Dr Farooq, Omar Abdullah 
RK News
Srinagar: National Conference President Dr Farooq Abdullah and Working President Omar Abdullah in a statement issued on Monday have authorized NC General Secretary Ali Mohammad Sagar, Provincial President Jammu Devender Singh Rana, Provincial President Kashmir Nasir Aslam Wani and Spokesperson Junaid Azim Mattu to speak on behalf of the party on policy issues including the post-assembly-polls policy and stands of National Conference. 
""Statements made by these authorized office bearers alone will represent official statements from the party. Statements made by all other respected party leaders including legislators-elect of the party should be taken to be made in their respective personal capacities"". 
The statements, remarks of these authorized leaders alone should be taken to represent official communication from the party. The Party General Secretary will coordinate briefings among those office bearers who have been authorized to speak on behalf of the party"", NC Working President Omar Abdullah added.",,status,,12/29/2014 5:34,91,1,2
123573591023105_766155190098272,"Mullah Omar hiding in Pak: Afghan spy chief
PTI
New Delhi: Taliban’s reclusive leader Mullah Muhammad Omar is alive and hiding in the Pakistani city of Karachi, a top Afghan intelligence official has said. 
“There is a lot of doubt whether he is alive or not. But we are more confident that he is in Karachi,” acting Afghan intelligence chief Rahmatullah Nabil was quoted as saying in the New York Times regarding Omar’s whereabouts.
An European official, speaking on the condition of anonymity, said in the NYT report that there is a “consensus among all three branches of the Afghan security forces that Mullah Omar is alive”.
The report said that Mullah Omar has always functioned more as the spiritual and ideological leader of the movement than as an operational commander.
His inner circle, made up of village mullahs who have known one another for decades, has provided the active leadership of the Taliban’s many local factions.
“But now one man, Mullah Akhtar Muhammad Mansour, has risen to the No 2 role and become the main link to Mullah Omar, allowing him to place his loyalists up and down the ranks,” Nabil said in the report.
Nabil, in his assessment, saw Pakistan’s security establishment driving the changes, an appraisal shared by some Western officials.
Other Afghan officials, along with some European and American counterparts, said the suggestions that Mullah Omar had died were a propaganda ploy intended to weaken Taliban morale, not a reflection of the true thinking within the Afghan government.",,status,,12/29/2014 5:02,79,6,2
123573591023105_766133393433785,"Intense cold wave continues in JK
RK News
Srinagar: Intense cold wave continued across Jammu and Kashmir on Monday as overnight temperatures in the Kashmir remained several notches below the freezing point.
“The minimum temperature was minus 4.1 degrees Celsius in Srinagar today,” an official of the local Met Office said.
“It was minus 3.4 in Gulmarg and minus 7 in Pahalgam. Leh town (in the Ladakh region) recorded a minimum temperature of minus 15.4 degrees Celsius.”
“Jammu recorded 4.3 as the minimum temperature.”
The official said cold wave conditions sweeping the state are likely to intensify further because the weather is expected to remain dry during the next 48 hours to Wednesday morning.",,status,,12/29/2014 3:17,89,4,4
123573591023105_766130960100695,"Bird strike causes fire on Jet Airways Mumbai-Kathmandu flight while landing, all passengers reported safe.",,status,,12/29/2014 3:04,158,18,6
123573591023105_766100753437049,"Search expands for missing AirAsia plane 
Agencies
Jakarta: Search planes and ships from several countries on Monday, were scouring Indonesian waters over which an AirAsia jet carrying 162 people disappeared, and more than a day into the region's latest aviation mystery, officials doubted there could be anything but a tragic ending.
AirAsia Flight vanished Sunday in airspace thick with storm clouds on its way from Surabaya, Indonesia, to Singapore. The search expanded Monday, but has yet to find any trace of the Airbus A320.
First Adm. Sigit Setiayana, the Naval Aviation Center commander at the Surabaya air force base, said 12 navy ships, five planes, three helicopters and a number of warships were taking part in the search, along with ships and planes from Singapore and Malaysia.
The Australian Air Force also sent a search plane. Searchers had to cope with heavy rain Sunday, but Setiayana said Monday that visibility was good.",,status,,12/29/2014 1:01,64,4,0
123573591023105_766099066770551,"News alert: 137 flights delayed, 14 cancelled as fog disrupts operations at Delhi airport.",,status,,12/29/2014 0:54,78,1,0
123573591023105_765772370136554,,Fighting Odds,link,http://www.risingkashmir.com/fighting-odds/,12/28/2014 13:48,26,0,0
123573591023105_765771783469946,,"50% child inmates suffer from psychological disorders, disturbances: Study",link,http://www.risingkashmir.com/50-child-inmates-suffer-from-psychological-disorders-disturbances-study/,12/28/2014 13:45,21,0,1
123573591023105_765771446803313,,"2014 records 562 ceasefire violations in JK, highest in 11 yrs",link,http://www.risingkashmir.com/2014-records-562-ceasefire-violations-in-jk-highest-in-11-yrs/,12/28/2014 13:44,22,1,0
123573591023105_765771136803344,,58 villages in JK may get mobile connectivity,link,http://www.risingkashmir.com/58-villages-in-jk-may-get-mobile-connectivity/,12/28/2014 13:43,33,0,0
