,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
42,42,704267.1091087963,13.384,-90.756,35.0,6.4,mw,,,,,iscgem,iscgem907957,735731.7865972222,offshore Guatemala,earthquake
43,43,704255.4517361111,-42.968,172.03,20.0,7.0,mw,,,,,iscgem,iscgem907935,735731.7865972222,South Island of New Zealand,earthquake
44,44,704253.0657638889,50.852,-169.753,15.0,7.8,mw,,,,,iscgem,iscgem907930,735731.7865972222,south of the Aleutian Islands,earthquake
45,45,704244.3755902778,54.511,-162.855,30.0,6.4,mw,,,,,iscgem,iscgem907916,735731.7865972222,Alaska Peninsula,earthquake
46,46,704240.8623958334,10.684,-41.984,10.0,7.1,mw,,,,,iscgem,iscgem907911,735731.7865972222,northern Mid-Atlantic Ridge,earthquake
47,47,704234.8078125,-53.056,-122.5,10.0,6.4,mw,,,,,iscgem,iscgem907904,735731.7865972222,southern East Pacific Rise,earthquake
48,48,704228.6523148149,13.695,-90.868,30.0,6.7,mw,,,,,iscgem,iscgem907897,735731.7865972222,offshore Guatemala,earthquake
49,49,704220.0002893518,-1.179,-22.284,10.0,7.1,mw,,,,,iscgem,iscgem907884,735731.7865972222,central Mid-Atlantic Ridge,earthquake
50,50,704211.8588425926,13.02,-90.625,15.0,6.9,mw,,,,,iscgem,iscgem907874,735731.7865972222,offshore Guatemala,earthquake
51,51,704208.2052893519,-51.335,139.935,10.0,6.2,mw,,,,,iscgem,iscgem907868,735731.7865972222,western Indian-Antarctic Ridge,earthquake
52,52,704204.4900925925,10.543,-64.444,10.0,6.7,mw,,,,,iscgem,iscgem907860,735731.7865972222,"offshore Sucre, Venezuela",earthquake
53,53,704203.3376273148,16.505,120.818,25.0,6.2,mw,,,,,iscgem,iscgem907857,735731.7865972222,"Luzon, Philippines",earthquake
54,54,704184.597025463,7.667,123.289,15.0,6.7,mw,,,,,iscgem,iscgem909032,735731.7865972222,"Mindanao, Philippines",earthquake
55,55,704175.4842361112,6.753,124.178,25.0,7.4,mw,,,,,iscgemsup,iscgemsup909023,735792.7099768518,"Mindanao, Philippines",earthquake
